"","c1","c2","m1","m2"
"LOC103644366",364,185,277,917
"LOC100382519",101,108,96,78
"LOC103630116",0,0,0,0
"LOC103649349",0,0,6,0
"LOC109943579",0,0,0,0
"LOC109942621",76,42,48,76
"LOC103630159",0,0,0,0
"LOC115032971",195,102,173,355
"LOC103630195",1013,427,544,938
"LOC103630223",403,254,360,374
"LOC103630233",0,0,0,0
"LOC103630261",0,1,2,16
"LOC109943573",0,0,0,0
"LOC103630281",0,0,0,0
"LOC118473254",0,0,0,0
"LOC100277468",0,4,3,22
"LOC118473255",0,0,0,0
"TRNAF-GAA",0,0,0,0
"LOC103630305",0,0,0,0
"LOC109943581",0,0,0,35
"LOC100279648",0,5,6,41
"LOC100276289",170,93,174,236
"LOC100280608",0,0,2,16
"LOC100278565",404,158,551,444
"LOC103630338",0,0,0,0
"LOC100383860",777,509,306,427
"LOC103630355",12,13,12,30
"LOC100216975",851,638,905,1175
"LOC100193420",697,361,658,1210
"LOC100283177",279,260,218,642
"LOC118473256",0,0,0,0
"LOC103630366",292,167,256,500
"LOC103630457",567,356,633,957
"LOC100279889",66,33,71,102
"LOC100383837",813,571,1084,926
"LOC103630473",0,0,0,0
"LOC103630483",0,0,0,0
"LOC103630490",0,0,0,0
"LOC541908",0,0,0,0
"LOC103630501",0,0,0,0
"LOC100381635",0,0,0,0
"LOC100283317",202,39,27,288
"LOC111590740",0,0,2,0
"LOC111590742",0,0,0,0
"LOC118473257",0,0,0,0
"LOC103630526",0,6,6,23
"LOC107546763",3,0,3,3
"LOC100285831",1361,7916,9394,4670
"LOC103630535",413,42,50,327
"LOC100191673",11530,7752,6539,12058
"LOC100273658",0,1,0,0
"LOC103630546",31,4,23,87
"LOC100275685",868,892,1334,2315
"LOC103630556",987,697,974,717
"LOC103630570",0,0,0,0
"LOC100281615",412,457,563,683
"LOC103630585",15,23,19,42
"LOC100502546",0,0,0,0
"LOC103630626",774,366,639,960
"LOC103630632",0,2,2,0
"LOC109943576",0,2,0,0
"LOC100216768",4561,2748,3608,6071
"LOC103630653",0,0,0,0
"LOC100381534",87,43,53,112
"LOC100194370",4,2,5,42
"LOC100194192",0,0,0,0
"LOC100273289",941,369,207,582
"LOC103630678",9,49,29,0
"TRNAN-GUU",0,0,0,0
"LOC100037826",834,838,925,368
"LOC100422791",373,379,350,539
"LOC100192899",127,66,95,77
"LOC103630668",237,244,433,64
"LOC100193669",524,823,1210,1087
"LOC100275682",882,1197,1767,951
"LOC100501456",1070,1277,2211,759
"LOC100276353",1417,704,555,1554
"LOC100304252",969,432,668,1415
"LOC103630688",222,59,108,441
"LOC100279759",496,178,387,925
"TRNAT-UGU",0,0,0,0
"LOC100192479",612,281,250,568
"LOC100285339",69,270,150,15
"LOC107403162",0,81,156,274
"LOC100280063",1612,998,922,1573
"LOC118473258",0,0,0,0
"LOC103630728",1892,1165,1739,1108
"LOC103644381",142,180,144,74
"LOC103630746",31,2,5,5
"LOC107548113",49,115,105,44
"LOC100282726",77,79,101,40
"LOC100285555",1175,767,1076,1475
"LOC100283968",32,11,17,54
"LOC100285519",446,147,143,390
"LOC100285493",0,0,11,9
"LOC100272424",297,129,315,778
"LOC103630760",165,27,110,347
"LOC100284135",0,7,19,5
"LOC100381824",973,706,1340,1895
"LOC103630770",0,0,0,0
"LOC100501901",30,35,72,92
"LOC103630811",130,77,208,261
"LOC103644382",7,0,21,14
"LOC100281552",344,303,392,403
"LOC100277985",149,98,99,220
"LOC100285880",683,66,99,770
"LOC103630827",539,82,178,423
"LOC111590675",0,0,0,0
"LOC111590669",0,0,0,0
"LOC111590670",0,0,0,0
"LOC100283507",504,362,262,245
"LOC100283343",534,291,446,997
"LOC100286177",1084,916,1086,1018
"LOC100274439",726,507,792,1270
"LOC100284607",692,1776,2484,646
"LOC103630838",0,0,0,0
"LOC103630849",151,59,46,87
"LOC100286006",1932,1241,1466,3658
"LOC100191772",1180,1366,1550,1669
"LOC100283976",0,3,3,38
"LOC100277385",962,1446,2890,4721
"LOC103644384",14,0,4,2
"LOC100192905",21,21,29,18
"LOC100278238",0,0,0,1
"LOC100381530",256,65,138,309
"LOC542270",97,70,101,214
"LOC100274414",543,369,393,480
"LOC100284098",0,8,33,30
"LOC103630860",124,64,100,371
"LOC103641453",0,0,0,0
"LOC100384769",51,33,36,151
"LOC100276840",99,33,50,113
"LOC103630932",115,94,105,263
"LOC109942737",1,0,2,0
"LOC103630917",0,3,0,0
"LOC100274260",9190,4404,5480,5218
"LOC100194239",1432,598,718,1130
"LOC103630952",0,0,1,0
"LOC103644387",3803,1978,2058,3688
"LOC100381604",14,0,13,20
"LOC103631010",5,7,39,97
"LOC103630963",5,20,28,114
"TRNAK-UUU",0,0,0,0
"LOC100274636",91,61,44,134
"LOC103631020",0,0,1,0
"LOC100193072",238,92,179,379
"LOC100272698",25,4,16,8
"LOC100501751",167,77,64,18
"LOC100282187",2479,486,248,527
